rank,team,conference,anchor_blend,implied_off,anchor_off,implied_def,anchor_def,residual,k_x_resid_clipped,class,st_term,recenter_shift,final,band,L_count,new_HC,capped
22,Utah,Big 12,13.22,33.98,33.66,23.01,20.44,-0.37,-0.13,-0.00,+0.24,+0.57,13.90,7.46,0,Y,
23,Iowa,Big Ten,13.83,30.81,30.42,17.54,17.18,-2.20,-0.77,-0.00,+0.20,+0.57,13.83,6.72,4,,
24,Auburn,SEC,11.65,30.20,28.62,22.09,17.28,+3.02,+1.06,-0.00,+0.12,+0.57,13.40,6.78,0,Y,
25,South Carolina,SEC,11.37,28.22,29.53,21.46,18.77,+2.22,+0.78,-0.00,-0.04,+0.57,12.68,6.18,1,,
26,Louisville,ACC,11.91,31.03,31.06,20.08,19.24,+0.67,+0.23,-0.00,-0.12,+0.57,12.60,6.36,2,,
27,SMU,ACC,11.91,31.80,32.41,22.08,20.19,-0.96,-0.34,-0.00,+0.00,+0.57,12.15,6.00,0,,
28,Clemson,ACC,12.36,27.93,29.28,20.45,17.22,-3.00,-1.05,-0.00,+0.12,+0.57,12.01,6.36,2,,
29,Vanderbilt,SEC,9.79,28.28,33.29,21.56,24.21,+3.70,+1.29,-0.00,+0.20,+0.57,11.86,6.18,1,,
30,Arizona,Big 12,9.15,36.41,30.98,23.97,21.32,+4.25,+1.49,-0.00,-0.16,+0.57,11.05,6.00,0,,
31,Kansas State,Big 12,9.88,29.66,32.84,24.00,23.26,-2.36,-0.83,-0.00,+0.10,+0.57,9.73,6.78,0,Y,
32,TCU,Big 12,9.34,27.67,31.42,21.21,21.78,-1.68,-0.59,-0.00,+0.10,+0.57,9.42,6.00,0,,
33,Houston,Big 12,7.47,30.39,30.93,20.15,23.17,+3.80,+1.33,-0.00,-0.16,+0.57,9.21,6.00,0,,
34,Kentucky,SEC,5.61,27.77,25.90,21.53,20.30,+6.30,+2.20,-0.00,-0.04,+0.57,8.35,6.98,1,Y,
35,Pittsburgh,ACC,7.14,29.21,30.52,21.21,23.48,+2.03,+0.71,-0.00,-0.08,+0.57,8.34,6.18,1,,
36,Virginia,ACC,6.99,29.75,26.50,22.58,19.70,+1.42,+0.50,-0.00,+0.08,+0.57,8.14,6.36,2,,
37,Virginia Tech,ACC,7.05,28.68,29.92,21.37,22.68,+1.14,+0.40,-0.00,+0.00,+0.57,8.02,7.91,2,Y,
38,Nebraska,Big Ten,7.45,29.60,29.07,20.72,21.63,-1.41,-0.49,-0.00,+0.24,+0.57,7.77,6.00,0,,
39,Mississippi State,SEC,4.66,28.50,30.48,23.39,26.32,+6.52,+2.28,-0.00,+0.08,+0.57,7.60,6.18,1,,
40,Florida State,ACC,8.30,28.44,29.45,24.41,20.85,-3.38,-1.18,-0.00,-0.12,+0.57,7.57,6.54,3,,
41,Minnesota,Big Ten,4.69,30.64,25.04,17.19,19.76,+5.04,+1.77,-0.00,+0.12,+0.57,7.15,6.00,0,,
42,Wisconsin,Big Ten,5.42,31.14,22.41,19.59,16.69,+2.78,+0.97,-0.00,-0.04,+0.57,6.93,6.00,0,,
43,UCLA,Big Ten,3.91,30.94,28.40,18.40,24.50,+5.44,+1.90,-0.00,+0.12,+0.57,6.51,6.78,0,Y,
44,Georgia Tech,ACC,5.58,29.45,28.59,25.66,23.61,-0.27,-0.09,-0.00,+0.24,+0.57,6.30,6.54,3,,
45,Illinois,Big Ten,9.03,25.84,31.37,22.90,22.83,-8.30,-2.91,-0.00,-0.40,+0.57,6.30,6.18,1,,
46,Oklahoma State,Big 12,3.89,31.57,28.40,24.50,25.00,+4.63,+1.62,-0.00,-0.10,+0.57,5.98,7.46,0,Y,
47,Arizona State,Big 12,6.93,25.73,28.46,23.25,20.94,-3.78,-1.32,-0.00,-0.20,+0.57,5.98,6.00,0,,
48,Arkansas,SEC,4.83,25.03,34.01,24.10,29.39,+1.89,+0.66,-0.00,-0.12,+0.57,5.95,6.98,1,Y,
49,Northwestern,Big Ten,3.52,29.85,23.96,19.15,20.94,+4.44,+1.55,-0.00,-0.20,+0.57,5.45,6.00,0,,
50,Duke,ACC,4.31,30.12,32.11,25.74,28.19,+1.26,+0.44,-0.00,+0.00,+0.57,5.33,6.54,3,,
51,Wake Forest,ACC,3.35,27.29,24.07,21.40,20.83,+3.35,+1.17,-0.00,+0.08,+0.57,5.18,6.36,2,,
52,NC State,ACC,5.38,29.10,30.94,26.30,25.06,-2.18,-0.76,-0.00,-0.04,+0.57,5.15,6.54,3,,
53,Baylor,Big 12,4.70,26.18,32.30,23.75,28.20,-0.62,-0.22,-0.00,+0.04,+0.57,5.10,6.18,1,,
54,Boise State,Pac-12,5.40,21.02,29.20,24.49,23.50,-5.15,-1.80,+0.00,-0.12,+0.57,5.00,6.18,1,,
55,UCF,Big 12,2.42,26.68,24.56,21.94,22.04,+3.04,+1.07,-0.00,-0.10,+0.57,3.96,6.00,0,,
56,Kansas,Big 12,4.02,25.47,29.16,24.55,25.74,-1.53,-0.53,-0.00,-0.20,+0.57,3.86,6.00,0,,
57,Maryland,Big Ten,2.62,26.43,25.51,18.24,23.29,+2.65,+0.93,-0.00,-0.28,+0.57,3.84,6.00,0,,
58,North Carolina,ACC,1.87,26.98,23.53,23.35,22.07,+2.72,+0.95,-0.00,-0.08,+0.57,3.32,6.36,2,,
59,Cincinnati,Big 12,3.57,28.49,29.14,28.71,25.86,-2.57,-0.90,-0.00,+0.04,+0.57,3.29,6.18,1,,
60,California,ACC,2.15,28.29,28.43,25.61,25.97,+0.81,+0.28,-0.00,-0.16,+0.57,2.85,7.39,3,Y,
61,Rutgers,Big Ten,1.06,32.89,30.03,24.76,29.07,+3.69,+1.29,-0.00,-0.12,+0.57,2.81,6.00,0,,
62,North Dakota State,Mountain West,-3.78,11.57,23.21,38.57,26.99,-8.98,-3.14,+0.00,-0.72,+0.57,2.00,8.00,3,,
63,Colorado,Big 12,0.44,26.04,26.07,22.57,25.13,+3.15,+1.10,-0.00,-0.16,+0.57,1.96,6.00,0,,
64,Memphis,American Athletic,-0.72,23.51,28.49,18.71,29.81,+5.42,+1.90,+0.00,+0.00,+0.57,1.75,7.59,4,Y,
65,West Virginia,Big 12,1.23,26.63,26.51,27.07,25.39,-0.86,-0.30,-0.00,-0.16,+0.57,1.34,6.00,0,,
66,Iowa State,Big 12,0.99,24.33,22.89,26.20,22.41,-1.66,-0.58,-0.00,+0.04,+0.57,1.02,8.13,3,Y,
67,East Carolina,American Athletic,-1.16,25.08,24.62,22.06,25.58,+3.24,+1.13,+0.00,+0.04,+0.57,0.59,6.36,2,,
68,Tulane,American Athletic,0.47,26.70,25.19,28.61,25.31,-2.38,-0.83,+0.00,+0.04,+0.57,0.25,7.39,3,Y,
69,San Diego State,Pac-12,-0.82,24.27,23.34,27.72,24.76,+1.39,+0.49,+0.00,-0.28,+0.57,-0.04,6.18,1,,
70,Michigan State,Big Ten,0.75,27.35,26.87,25.46,25.73,-2.76,-0.97,-0.00,-0.48,+0.57,-0.12,6.78,0,Y,
71,Stanford,ACC,-3.17,26.51,22.06,24.28,24.64,+4.88,+1.71,-0.00,+0.04,+0.57,-0.85,7.39,3,Y,
72,Fresno State,Pac-12,-2.08,22.32,20.71,25.87,22.79,+1.83,+0.64,+0.00,-0.04,+0.57,-0.90,6.18,1,,
73,Purdue,Big Ten,-2.28,25.15,24.11,22.61,27.09,+1.71,+0.60,-0.00,+0.08,+0.57,-1.03,6.00,0,,
74,UNLV,Mountain West,0.36,18.23,29.98,36.92,29.62,-4.41,-1.54,+0.00,-0.60,+0.57,-1.21,6.36,2,,
75,Boston College,ACC,-3.26,25.47,24.52,25.92,28.28,+3.37,+1.18,-0.00,+0.04,+0.57,-1.47,6.54,3,,
76,Syracuse,ACC,-1.88,23.42,23.31,26.67,25.59,-0.78,-0.27,-0.00,-0.20,+0.57,-1.78,6.36,2,,
77,Navy,American Athletic,0.27,24.61,27.39,33.86,27.31,-9.94,-3.48,+0.00,+0.10,+0.57,-2.53,6.18,1,,
78,South Florida,American Athletic,-0.87,23.89,28.46,30.84,29.14,-6.99,-2.45,+0.00,-0.04,+0.57,-2.78,7.39,3,Y,
79,Army,American Athletic,-2.64,30.25,24.68,35.04,27.42,-2.94,-1.03,+0.00,+0.30,+0.57,-2.80,6.36,2,,
80,Texas State,Pac-12,-5.31,28.29,32.10,30.72,37.50,+5.95,+2.08,+0.00,-0.16,+0.57,-2.81,6.18,1,,
81,James Madison,Sun Belt,-0.49,25.47,25.80,24.48,25.90,-9.01,-3.15,+0.00,+0.08,+0.57,-2.99,6.98,1,Y,
82,UTSA,American Athletic,-2.04,28.59,29.23,35.90,31.47,-5.90,-2.07,+0.00,+0.04,+0.57,-3.49,6.72,4,,
83,New Mexico,Mountain West,-3.99,15.87,23.55,34.00,28.15,+0.69,+0.24,+0.00,-0.64,+0.57,-3.82,6.00,0,,
84,Washington State,Pac-12,-1.95,20.35,21.57,31.62,23.43,-6.09,-2.13,+0.00,-0.36,+0.57,-3.87,7.91,2,Y,
85,Utah State,Pac-12,-6.57,21.53,24.27,29.28,30.33,+1.17,+0.41,+0.00,-0.24,+0.57,-5.83,6.00,0,,
86,Old Dominion,Sun Belt,-4.03,24.95,21.09,24.14,24.41,-6.32,-2.21,+0.00,-0.16,+0.57,-5.83,6.00,0,,
87,Air Force,Mountain West,-5.48,16.47,23.76,38.05,29.24,-2.03,-0.71,+0.00,-0.76,+0.57,-6.38,6.18,1,,
88,UConn,FBS Independents,-10.95,26.50,20.43,25.11,31.97,+11.29,+3.95,+0.00,-0.12,+0.57,-6.54,7.39,3,Y,
89,Oregon State,Pac-12,-7.68,19.02,20.21,26.56,27.19,+2.18,+0.76,+0.00,-0.24,+0.57,-6.58,7.19,2,Y,
90,Tulsa,American Athletic,-10.94,25.41,21.83,24.30,33.37,+10.95,+3.83,+0.00,-0.10,+0.57,-6.63,6.18,1,,
91,Hawai'i,Mountain West,-5.72,15.01,24.39,37.81,30.71,-2.43,-0.85,+0.00,-0.76,+0.57,-6.76,6.54,3,,
92,Miami (OH),Mid-American,-6.47,17.48,17.71,32.88,24.69,-2.87,-1.01,+0.00,-0.20,+0.57,-7.10,6.18,1,,
93,Western Michigan,Mid-American,-6.70,20.66,19.25,35.01,25.55,-2.52,-0.88,+0.00,-0.44,+0.57,-7.45,6.18,1,,
94,Western Kentucky,Conference USA,-6.47,26.84,24.61,24.85,31.59,-4.83,-1.69,+0.00,-0.04,+0.57,-7.63,6.36,2,,
95,North Texas,American Athletic,-6.61,23.92,26.20,33.95,32.60,-4.91,-1.72,+0.00,+0.10,+0.57,-7.65,8.35,4,Y,
96,Jacksonville State,Conference USA,-9.83,26.36,23.73,24.91,33.07,-3.32,-1.16,+0.00,-0.04,+0.57,-8.00,6.00,0,,
97,Troy,Sun Belt,-7.48,24.66,22.86,25.37,30.54,-3.81,-1.33,+0.00,-0.04,+0.57,-8.28,6.00,0,,
98,Marshall,Sun Belt,-7.69,25.48,27.85,27.07,35.85,-4.38,-1.53,+0.00,-0.28,+0.57,-8.93,6.00,0,,
99,Colorado State,Pac-12,-11.66,15.73,17.12,34.53,28.68,-4.88,-1.71,+0.00,-0.60,+0.57,-9.00,7.39,3,Y,
100,Louisiana,Sun Belt,-10.00,25.72,24.75,23.96,34.35,+0.34,+0.12,+0.00,-0.04,+0.57,-9.35,6.00,0,,
101,Toledo,Mid-American,-4.89,12.70,20.00,37.69,24.60,-14.68,-5.14,+0.00,-0.52,+0.57,-9.98,7.91,2,Y,
102,Arkansas State,Sun Belt,-11.17,27.46,22.37,26.68,33.63,+0.90,+0.31,+0.00,+0.12,+0.57,-10.16,6.18,1,,
103,Louisiana Tech,Sun Belt,-9.76,24.69,21.57,26.12,31.33,-2.67,-0.93,+0.00,-0.20,+0.57,-10.32,6.00,0,,
104,Kennesaw State,Conference USA,-12.24,23.94,19.83,26.06,31.57,-4.74,-1.66,+0.00,-0.16,+0.57,-10.50,6.36,2,,
105,Florida Atlantic,American Athletic,-11.31,25.67,25.10,35.56,37.00,+0.27,+0.10,+0.00,+0.00,+0.57,-10.64,6.36,2,,
106,Liberty,Conference USA,-8.79,24.93,24.30,26.56,32.90,-7.06,-2.47,+0.00,-0.24,+0.57,-10.93,6.54,3,,
107,Georgia Southern,Sun Belt,-10.89,24.73,22.21,26.69,33.09,-2.19,-0.77,+0.00,-0.16,+0.57,-11.24,6.00,0,,
108,App State,Sun Belt,-11.85,24.51,21.33,26.63,33.47,-1.19,-0.42,+0.00,-0.12,+0.57,-11.81,6.36,2,,
109,South Alabama,Sun Belt,-12.02,26.30,23.34,27.12,34.76,-0.63,-0.22,+0.00,-0.16,+0.57,-11.83,6.00,0,,
110,Wyoming,Mountain West,-11.35,12.87,15.13,38.56,25.87,-1.46,-0.51,+0.00,-0.68,+0.57,-11.97,6.54,3,,
111,Temple,American Athletic,-10.85,24.16,24.12,38.44,35.38,-4.72,-1.65,+0.00,-0.10,+0.57,-12.03,6.72,4,,
112,Ohio,Mid-American,-9.57,13.26,15.32,35.77,24.18,-8.41,-2.94,+0.00,-0.52,+0.57,-12.46,6.98,1,Y,
113,Central Michigan,Mid-American,-13.30,19.27,16.95,35.29,30.05,+1.97,+0.69,+0.00,-0.48,+0.57,-12.52,6.18,1,,
114,Delaware,Conference USA,-13.86,27.73,22.27,25.30,35.83,+1.48,+0.52,+0.00,-0.16,+0.57,-12.93,6.60,0,,
115,Bowling Green,Mid-American,-14.84,16.79,14.03,31.06,29.07,+5.51,+1.93,+0.00,-0.64,+0.57,-12.98,6.18,1,,
116,Nevada,Mountain West,-14.46,12.10,16.27,35.68,31.13,+4.47,+1.57,+0.00,-0.68,+0.57,-13.00,6.54,3,,
117,Coastal Carolina,Sun Belt,-13.82,23.54,21.09,24.67,34.41,+0.78,+0.27,+0.00,-0.12,+0.57,-13.09,7.19,2,Y,
118,San José State,Mountain West,-14.31,12.33,19.19,38.95,33.01,+0.41,+0.14,+0.00,-0.56,+0.57,-14.15,6.36,2,,
119,Rice,American Athletic,-15.91,24.02,16.39,35.76,32.81,+2.50,+0.87,+0.00,+0.04,+0.57,-14.42,6.54,3,,
120,Buffalo,Mid-American,-14.12,13.06,14.59,33.72,29.21,-1.24,-0.43,+0.00,-0.56,+0.57,-14.54,6.36,2,,
121,Florida International,Conference USA,-15.51,24.80,20.60,25.31,35.90,+0.12,+0.04,+0.00,-0.12,+0.57,-15.01,6.00,0,,
122,Eastern Michigan,Mid-American,-16.31,16.55,17.14,35.39,33.46,+2.07,+0.72,+0.00,-0.52,+0.57,-15.53,6.00,0,,
123,Southern Miss,Sun Belt,-16.70,23.64,19.70,26.31,35.90,+1.85,+0.65,+0.00,-0.16,+0.57,-15.64,8.13,3,Y,
124,UAB,American Athletic,-17.36,25.26,20.67,38.03,37.53,+1.76,+0.62,+0.00,+0.10,+0.57,-16.07,7.39,3,Y,
125,Missouri State,Conference USA,-16.15,24.11,17.98,26.56,33.62,-1.55,-0.54,+0.00,-0.12,+0.57,-16.24,7.19,2,Y,
126,Northern Illinois,Mountain West,-17.17,11.46,14.32,40.39,31.28,+0.95,+0.33,+0.00,-0.64,+0.57,-16.90,7.39,3,Y,
127,New Mexico State,Conference USA,-18.14,22.38,16.13,26.62,34.27,-1.03,-0.36,+0.00,-0.08,+0.57,-18.01,6.54,3,,
128,Georgia State,Sun Belt,-19.95,24.67,19.57,27.58,38.83,+4.35,+1.52,+0.00,-0.20,+0.57,-18.05,6.00,0,,
129,UTEP,Mountain West,-20.13,10.28,14.89,39.88,34.51,+2.65,+0.93,+0.00,-0.72,+0.57,-19.35,6.72,4,,
130,Akron,Mid-American,-19.97,15.30,12.77,37.98,32.13,+0.90,+0.32,+0.00,-0.52,+0.57,-19.60,6.36,2,,
131,Middle Tennessee,Conference USA,-21.10,24.25,16.15,27.88,37.45,+2.45,+0.86,+0.00,-0.20,+0.57,-19.87,6.54,3,,
132,UL Monroe,Sun Belt,-22.41,23.35,15.24,27.38,36.96,+5.45,+1.91,+0.00,-0.20,+0.57,-20.13,6.18,1,,
133,Kent State,Mid-American,-21.69,13.63,15.11,36.49,36.29,+2.38,+0.83,+0.00,-0.48,+0.57,-20.76,6.00,0,,
134,Sacramento State,Mid-American,-20.03,11.30,16.44,40.58,36.56,-4.94,-1.73,+0.00,-0.56,+0.57,-21.75,7.59,4,Y,
135,Sam Houston,Conference USA,-23.69,23.29,15.41,27.64,38.69,+3.46,+1.21,+0.00,-0.16,+0.57,-22.06,6.36,2,,
136,Charlotte,American Athletic,-23.00,20.29,15.10,37.35,37.60,+2.56,+0.90,+0.00,-0.56,+0.57,-22.09,7.59,6,,
137,Ball State,Mid-American,-22.37,10.24,13.62,40.51,35.28,-4.62,-1.62,+0.00,-0.80,+0.57,-24.21,6.36,2,,
138,Massachusetts,Mid-American,-30.22,11.39,9.94,38.55,39.76,+5.89,+2.06,+0.00,-0.60,+0.57,-28.18,6.80,1,,
